,time,status
222,11:20:00,1
223,11:21:00,1
224,11:22:00,1
225,11:23:00,1
226,11:24:00,1
227,11:25:00,1
228,11:26:00,1
229,11:27:00,1
230,11:28:00,1
231,11:29:00,1
232,11:30:00,1
233,11:31:00,1
234,11:32:00,1
235,11:33:00,1
236,11:34:00,1
237,11:35:00,1
238,11:36:00,1
239,11:37:00,1
240,11:38:00,1
241,11:39:00,1
242,11:40:00,1
243,11:41:00,1
244,11:42:00,1
245,11:43:00,1
246,11:44:00,1
247,11:45:00,1
248,11:46:00,1
249,11:47:00,1
250,11:48:00,1
251,11:49:00,1
252,11:50:00,1
253,11:51:00,1
254,11:52:00,1
255,11:53:00,1
256,11:54:00,1
257,11:55:00,1
258,11:56:00,1
259,11:57:00,1
260,11:58:00,1
261,11:59:00,1
262,12:00:00,1
263,12:01:00,1
264,12:02:00,1
265,12:03:00,1
266,12:04:00,1
267,12:05:00,1
268,12:06:00,1
269,12:07:00,1
270,12:08:00,1
271,12:09:00,1
272,12:10:00,1
273,12:11:00,1
274,12:12:00,1
275,12:13:00,1
276,12:14:00,1
277,12:15:00,1
278,12:16:00,1
279,12:17:00,1
280,12:18:00,1
281,12:19:00,1
282,12:20:00,1
283,12:21:00,1
284,12:22:00,1
285,12:23:00,1
286,12:24:00,1
287,12:25:00,2
288,12:26:00,1
289,12:27:00,1
290,12:28:00,1
291,12:29:00,2
292,12:30:00,1
293,12:31:00,1
294,12:32:00,1
295,12:33:00,1
296,12:34:00,1
297,12:35:00,1
298,12:36:00,1
299,12:37:00,1
300,12:38:00,1
301,12:39:00,1
302,12:40:00,2
303,12:41:00,1
304,12:42:00,1
305,12:43:00,1
306,12:44:00,1
307,12:45:00,1
308,12:46:00,1
309,12:47:00,1
310,12:48:00,1
311,12:49:00,1
312,12:50:00,1
313,12:51:00,1
314,12:52:00,1
315,12:53:00,1
316,12:54:00,1
317,12:55:00,2
318,12:56:00,1
319,12:57:00,1
320,12:58:00,1
321,12:59:00,2
322,13:00:00,1
323,13:01:00,1
324,13:02:00,1
325,13:03:00,1
326,13:04:00,1
327,13:05:00,1
328,13:06:00,1
329,13:07:00,1
330,13:08:00,2
331,13:09:00,1
332,13:10:00,1
333,13:11:00,2
334,13:12:00,2
335,13:13:00,1
336,13:14:00,1
337,13:15:00,1
338,13:16:00,1
339,13:17:00,1
340,13:18:00,1
341,13:19:00,1
342,13:20:00,1
343,13:21:00,1
344,13:22:00,1
345,13:23:00,1
346,13:24:00,1
347,13:25:00,1
348,13:26:00,1
349,13:27:00,2
350,13:28:00,1
351,13:29:00,1
352,13:30:00,1
353,13:31:00,1
354,13:32:00,1
355,13:33:00,1
356,13:34:00,1
357,13:35:00,1
358,13:36:00,1
359,13:37:00,1
360,13:38:00,1
361,13:39:00,1
362,13:40:00,1
363,13:41:00,1
364,13:42:00,1
365,13:43:00,1
366,13:44:00,1
367,13:45:00,1
368,13:46:00,1
369,13:47:00,1
370,13:48:00,1
371,13:49:00,1
372,13:50:00,1
373,13:51:00,1
374,13:52:00,1
375,13:53:00,1
376,13:54:00,1
377,13:55:00,1
378,13:56:00,1
379,13:57:00,1
380,13:58:00,1
381,13:59:00,1
382,14:00:00,1
383,14:01:00,1
384,14:02:00,1
385,14:03:00,1
386,14:04:00,1
387,14:05:00,1
388,14:06:00,1
389,14:07:00,1
390,14:08:00,1
391,14:09:00,1
392,14:10:00,1
393,14:11:00,1
394,14:12:00,2
395,14:13:00,2
396,14:14:00,2
397,14:15:00,2
398,14:16:00,2
399,14:17:00,1
400,14:18:00,2
401,14:19:00,1
402,14:20:00,1
403,14:21:00,1
404,14:22:00,1
405,14:23:00,1
406,14:24:00,1
407,14:25:00,1
408,14:26:00,1
409,14:27:00,1
410,14:28:00,1
411,14:29:00,1
412,14:30:00,1
413,14:31:00,1
414,14:32:00,1
415,14:33:00,1
416,14:34:00,1
417,14:35:00,1
418,14:36:00,1
419,14:37:00,1
420,14:38:00,1
421,14:39:00,2
422,14:40:00,1
423,14:41:00,1
424,14:42:00,1
425,14:43:00,1
426,14:44:00,1
427,14:45:00,1
428,14:46:00,1
429,14:47:00,1
430,14:48:00,1
431,14:49:00,1
432,14:50:00,1
433,14:51:00,1
434,14:52:00,1
435,14:53:00,1
436,14:54:00,1
437,14:55:00,1
438,14:56:00,1
439,14:57:00,1
440,14:58:00,1
441,14:59:00,1
442,15:00:00,1
443,15:01:00,1
444,15:02:00,1
445,15:03:00,1
446,15:04:00,1
447,15:05:00,1
448,15:06:00,1
449,15:07:00,1
450,15:08:00,1
451,15:09:00,1
452,15:10:00,1
453,15:11:00,1
454,15:12:00,1
455,15:13:00,1
456,15:14:00,1
457,15:15:00,1
458,15:16:00,1
459,15:17:00,1
460,15:18:00,1
461,15:19:00,1
462,15:20:00,1
463,15:21:00,1
464,15:22:00,1
465,15:23:00,1
466,15:24:00,1
467,15:25:00,1
468,15:26:00,1
469,15:27:00,2
470,15:28:00,2
471,15:29:00,2
472,15:30:00,2
473,15:31:00,2
474,15:32:00,1
475,15:33:00,1
476,15:34:00,1
477,15:35:00,1
478,15:36:00,1
479,15:37:00,1
480,15:38:00,1
481,15:39:00,1
482,15:40:00,1
483,15:41:00,1
484,15:42:00,1
485,15:43:00,1
486,15:44:00,1
487,15:45:00,1
488,15:46:00,1
489,15:47:00,1
490,15:48:00,1
491,15:49:00,2
492,15:50:00,1
493,15:51:00,1
494,15:52:00,1
495,15:53:00,1
496,15:54:00,1
497,15:55:00,1
498,15:56:00,1
499,15:57:00,1
500,15:58:00,1
501,15:59:00,1
502,16:00:00,1
503,16:01:00,1
